Type,count(Type)
"DRAGON",11130
"BARON_NASHOR",11095
"RIFT_HERALD",4368
"FIRE_DRAGON",4103
"EARTH_DRAGON",4081
"WATER_DRAGON",4079
"AIR_DRAGON",3923
"ELDER_DRAGON",1469
