Victim,count(Victim)
"CLG Aphromoo",864
"UOL Hylissang",864
None,848
"UOL Vizicsacsi",843
"SSG CuVee",787
"SKT Faker",761
"SKT Wolf",759
"TSM Svenskeren",650
"kt Score",645
"CLG Huhi",641
